model,accuracy,precision,recall,f1,mcc,auc
logistic_regression,0.8435754189944135,0.8426351469117794,0.8435754189944135,0.8420967473718746,0.666114779537652,0.873254281949934
decision_tree,0.7821229050279329,0.7797185294031573,0.7821229050279329,0.7796610997378696,0.5331465698008627,0.7551383399209486
knn,0.8212290502793296,0.8198025887295777,0.8212290502793296,0.819539139853571,0.6180460250376562,0.8571805006587616
naive_bayes,0.7653631284916201,0.794615998526613,0.7653631284916201,0.7684590316573557,0.5492420036234018,0.7812252964426878
random_forest,0.8044692737430168,0.8032243131368064,0.8044692737430168,0.8036119392183224,0.5842861694210296,0.8300395256916996
